,files
33,"['pandemic', 'pushing', 'extreme', 'poverty', 'undoing', 'progress', 'pandemic', 'highlighted', 'need', 'strengthen', 'social', 'protection', 'emergency', 'preparedness', 'response', 'measure', 'insufficient', 'safeguard', 'poor', 'vulnerable', 'need', 'decline', 'pace', 'reduction', 'extreme', 'poverty', 'slowed', 'nowcast', 'rate', 'pandemic', 'reversing', 'trend', 'poverty', 'reduction', 'according', 'recent', 'estimate', 'global', 'extreme', 'poverty', 'rate', 'projected', 'close', 'level', 'consequently', 'estimated', 'pushed', 'extreme', 'poverty', 'increase', 'global', 'poverty', 'extreme_poverty', 'social_protection', 'poor_vulnerable', 'extreme_poverty', 'poverty_reduction', 'according_recent', 'extreme_poverty', 'extreme_poverty']"
34,"['respectively', 'progress', 'regard', 'encouraging', 'young', 'worker', 'world', 'young', 'worker', 'lived', 'extreme', 'poverty', 'compared', 'adult', 'worker', 'pandemic', 'pushing', 'worker', 'unemployment', 'underemployment', 'working', 'poverty', 'based', 'world', 'population', 'benefit', 'social', 'protection', 'critical', 'help', 'poorest', 'vulnerable', 'current', 'crisis', 'world', 'population', 'lacked', 'coverage', 'essential', 'health', 'service', 'unemployed', 'worker', 'covered', 'unemployment', 'benefit', 'hurricane', 'flood', 'earthquake', 'wildfire', 'extreme', 'natural', 'disaster', 'exacerbate', 'poverty', 'lived_extreme', 'world_population', 'social_protection', 'world_population', 'essential_health', 'natural_disaster']"
35,"['reported', 'affected', 'livelihood', 'disrupted', 'destroyed', 'term', 'direct', 'economic', 'loss', 'reported', 'country', 'attributed', 'agricultural', 'sector', 'slowdown', 'progress', 'poverty', 'reduction', 'covid', 'pandemic', 'global', 'rate', 'extreme', 'poverty', 'rising', 'time', 'triple', 'threat', 'covid', 'conflict', 'climate', 'change', 'global', 'goal', 'ending', 'poverty', 'unachievable', 'immediate', 'substantial', 'policy', 'action', 'taken', 'covid', 'crisis', 'demonstrated', 'importance', 'social', 'protection', 'protecting', 'health', 'employment', 'income', 'social', 'protection', 'measure', 'introduced', 'result', 'worldwide', 'social', 'protection', 'poor', 'vulnerable', 'direct_economic', 'agricultural_sector', 'poverty_reduction', 'covid_pandemic', 'extreme_poverty', 'climate_change', 'ending_poverty', 'covid_crisis', 'social_protection', 'social_protection', 'social_protection', 'poor_vulnerable']"
36,"['according', 'nowcasts', 'poor', 'middle', 'income', 'country', 'territory', 'predicted', 'living', 'extreme', 'poverty', 'pandemic', 'global', 'extreme', 'poverty', 'fallen', 'equivalent', 'living', 'rate', 'decrease', 'slowed', 'percentage', 'point', 'annually', 'period', 'compared', 'percentage', 'point', 'annually', 'worker', 'world', 'living', 'extreme', 'poverty', 'fell', 'progress', 'young', 'worker', 'encouraging', 'pandemic', 'severely', 'affected', 'informal', 'economy', 'vast', 'majority', 'working', 'poor', 'employed', 'middle_income', 'country_territory', 'living_extreme', 'extreme_poverty', 'percentage_point', 'percentage_point', 'living_extreme', 'vast_majority', 'working_poor']"
37,"['young', 'twice', 'adult', 'working', 'poor', 'global', 'population', 'covered', 'effectively', 'social', 'protection', 'benefit', 'leaving', 'unprotected', 'february', 'december', 'government', 'country', 'territory', 'announced', 'short', 'term', 'social', 'protection', 'measure', 'response', 'covid', 'crisis', 'disaster', 'fatality', 'reported', 'reporting', 'country', 'territory', 'significant', 'reduction', 'figure', 'disaster', 'mortality', 'reported', 'country', 'territory', 'reached', 'overall', 'trend', 'mortality', 'declining', 'basis', 'latest', 'report', 'submitted', 'monitoring', 'process', 'sendai', 'framework', 'disaster', 'risk', 'reduction', 'direct', 'economic', 'loss', 'working_poor', 'social_protection', 'country_territory', 'social_protection', 'covid_crisis', 'country_territory', 'country_territory', 'sendai_framework', 'disaster_risk', 'direct_economic']"
38,"['recorded', 'agricultural', 'sector', 'country', 'territory', 'period', 'spent', 'government', 'expenditure', 'education', 'recommended', 'framework', 'action', 'implementation', 'sustainable', 'development', 'goal', 'grant', 'basic', 'social', 'service', 'development', 'food', 'intended', 'poverty', 'reduction', 'represented', 'gross', 'national', 'income', 'donor', 'development', 'assistance', 'committee', 'eradicate', 'extreme', 'poverty', 'currently', 'measured', 'living', 'reduce', 'proportion', 'woman', 'child', 'living', 'poverty', 'dimension', 'according', 'national', 'definition', 'implement', 'nationally', 'appropriate', 'social', 'protection', 'measure', 'including', 'floor', 'achieve', 'substantial', 'coverage', 'poor', 'vulnerable', 'ensure', 'woman', 'particular', 'poor', 'vulnerable', 'equal', 'right', 'economic', 'resource', 'access', 'basic', 'service', 'ownership', 'control', 'land', 'property', 'inheritance', 'natural', 'resource', 'appropriate', 'technology', 'financial', 'service', 'including', 'microfinance', 'build', 'resilience', 'poor', 'vulnerable', 'situation', 'reduce', 'exposure', 'vulnerability', 'climate', 'related', 'extreme', 'event', 'economic', 'social', 'environmental', 'shock', 'disaster', 'ensure', 'significant', 'mobilization', 'resource', 'variety', 'source', 'including', 'enhanced', 'development', 'cooperation', 'order', 'provide', 'adequate', 'predictable', 'mean', 'developing', 'country', 'particular', 'developed', 'country', 'implement', 'programme', 'policy', 'poverty', 'dimension', 'create', 'sound', 'policy', 'framework', 'national', 'regional', 'international', 'level', 'based', 'poor', 'gender', 'sensitive', 'development', 'strategy', 'support', 'accelerated', 'investment', 'poverty', 'eradication', 'action', 'agricultural_sector', 'country_territory', 'government_expenditure', 'sustainable_development', 'poverty_reduction', 'development_assistance', 'extreme_poverty', 'poverty_dimension', 'nationally_appropriate', 'social_protection', 'poor_vulnerable', 'poor_vulnerable', 'equal_right', 'basic_service', 'natural_resource', 'financial_service', 'build_resilience', 'poor_vulnerable', 'climate_related', 'social_environmental', 'including_enhanced', 'provide_adequate', 'developing_country', 'particular_developed', 'poverty_dimension', 'national_regional']"
39,"['goal', 'zero', 'hunger', 'time', 'rethink', 'grow', 'consume', 'food', 'right', 'agriculture', 'forestry', 'fishery', 'provide', 'nutritious', 'food', 'generate', 'decent', 'income', 'supporting', 'centered', 'rural', 'development', 'protecting', 'environment', 'right', 'soil', 'freshwater', 'ocean', 'forest', 'biodiversity', 'rapidly', 'degraded', 'climate', 'change', 'putting', 'pressure', 'resource', 'depend', 'increasing', 'risk', 'associated', 'disaster', 'drought', 'flood', 'rural', 'woman', 'longer', 'meet', 'land', 'forcing', 'migrate', 'city', 'search', 'opportunity', 'poor', 'food', 'security', 'causing', 'child', 'stunted', 'short', 'severe', 'malnutrition', 'zero_hunger', 'climate_change', 'drought_flood', 'food_security', 'child_stunted']"
40,"['investment', 'agriculture', 'crucial', 'increasing', 'capacity', 'agricultural', 'productivity', 'sustainable', 'food', 'production', 'necessary', 'help', 'alleviate', 'peril', 'hunger', 'hunger', 'estimated', 'undernourished', 'majority', 'world', 'hungry', 'live', 'developing', 'country', 'population', 'undernourished', 'saharan', 'africa', 'remains', 'region', 'highest', 'prevalence', 'hunger', 'rate', 'increasing', 'saharan', 'africa', 'number', 'undernourished', 'poor', 'nutrition', 'cause', 'nearly', 'death', 'child', 'child', 'child', 'global', 'populationwere', 'chronically', 'undernourished', 'agricultural_productivity', 'food_production', 'developing_country', 'saharan_africa', 'saharan_africa']"
41,"['agriculture', 'single', 'largest', 'employer', 'world', 'providing', 'livelihood', 'today', 'global', 'population', 'largest', 'source', 'income', 'poor', 'rural', 'household', 'farm', 'worldwide', 'rainfed', 'provide', 'food', 'consumed', 'large', 'developing', 'world', 'investing', 'smallholder', 'woman', 'important', 'increase', 'food', 'security', 'nutrition', 'poorest', 'food', 'production', 'local', 'global', 'market', 'crop', 'diversity', 'lost', 'farmer', 'field', 'better', 'agricultural', 'biodiversity', 'contribute', 'nutritious', 'diet', 'enhanced', 'livelihood', 'farming', 'community', 'resilient', 'sustainable', 'farming', 'woman', 'farmer', 'access', 'resource', 'number', 'hungry', 'world', 'reduced', 'food_security', 'food_production']"
42,"['energy', 'poverty', 'region', 'fundamental', 'barrier', 'reducing', 'hunger', 'ensuring', 'world', 'produce', 'food', 'meet', 'future', 'demand', 'hunger', 'ensure', 'access', 'particular', 'poor', 'vulnerable', 'situation', 'including', 'infant', 'safe', 'nutritious', 'sufficient', 'food', 'round', 'malnutrition', 'including', 'achieving', 'internationally', 'agreed', 'target', 'stunting', 'wasting', 'child', 'address', 'nutritional', 'need', 'adolescent', 'girl', 'pregnant', 'lactating', 'woman', 'older', 'double', 'agricultural', 'productivity', 'income', 'scale', 'food', 'producer', 'particular', 'woman', 'indigenous', 'family', 'farmer', 'pastoralists', 'fisher', 'including', 'secure', 'equal', 'access', 'land', 'productive', 'resource', 'input', 'knowledge', 'financial', 'service', 'market', 'opportunity', 'value', 'addition', 'farm', 'employment', 'poor_vulnerable', 'safe_nutritious', 'internationally_agreed', 'adolescent_girl', 'agricultural_productivity', 'food_producer', 'equal_access', 'financial_service']"
43,"['maintain', 'genetic', 'diversity', 'seed', 'cultivated', 'plant', 'farmed', 'domesticated', 'animal', 'related', 'wild', 'specie', 'including', 'soundly', 'diversified', 'seed', 'plant', 'bank', 'national', 'regional', 'international', 'level', 'promote', 'access', 'fair', 'equitable', 'sharing', 'benefit', 'arising', 'utilization', 'genetic', 'resource', 'associated', 'traditional', 'knowledge', 'internationally', 'agreed', 'increase', 'investment', 'including', 'enhanced', 'international', 'cooperation', 'rural', 'infrastructure', 'agricultural', 'research', 'extension', 'service', 'technology', 'development', 'plant', 'livestock', 'gene', 'bank', 'order', 'enhance', 'agricultural', 'productive', 'capacity', 'developing', 'country', 'particular', 'developed', 'country', 'correct', 'prevent', 'trade', 'restriction', 'distortion', 'world', 'agricultural', 'market', 'including', 'parallel', 'elimination', 'agricultural', 'export', 'subsidy', 'export', 'measure', 'equivalent', 'effect', 'accordance', 'mandate', 'doha', 'development', 'round', 'genetic_diversity', 'national_regional', 'fair_equitable', 'sharing_benefit', 'arising_utilization', 'genetic_resource', 'internationally_agreed', 'including_enhanced', 'international_cooperation', 'gene_bank', 'order_enhance', 'developing_country', 'particular_developed', 'distortion_world', 'agricultural_market', 'agricultural_export', 'export_measure']"
44,"['profound', 'change', 'global', 'food', 'agriculture', 'needed', 'nourish', 'today', 'hungry', 'additional', 'increase', 'global', 'population', 'expected', 'zero', 'hunger', 'matter', 'whats', 'goal', 'hunger', 'achieve', 'food', 'security', 'improved', 'nutrition', 'promote', 'sustainable', 'agriculture', 'extreme', 'hunger', 'malnutrition', 'remains', 'barrier', 'sustainable', 'development', 'creates', 'trap', 'easily', 'escape', 'hunger', 'malnutrition', 'mean', 'productive', 'individual', 'prone', 'disease', 'unable', 'earn', 'improve', 'livelihood', 'suffer', 'hunger', 'worldwide', 'vast', 'majority', 'developing', 'country', 'hungry', 'number', 'going', 'hungry', 'estimated', 'undernourished', 'food_agriculture', 'zero_hunger', 'whats_goal', 'food_security', 'hunger_malnutrition', 'sustainable_development', 'hunger_malnutrition', 'vast_majority', 'developing_country']"
45,"['reversal', 'progress', 'sends', 'clear', 'warning', 'urgently', 'sustainable', 'development', 'goal', 'zero', 'hunger', 'achieved', 'hungry', 'climate', 'induced', 'shock', 'civil', 'insecurity', 'declining', 'food', 'production', 'contributed', 'food', 'scarcity', 'food', 'price', 'investment', 'agriculture', 'sector', 'critical', 'reducing', 'hunger', 'poverty', 'improving', 'food', 'security', 'creating', 'employment', 'building', 'resilience', 'disaster', 'shock', 'care', 'want', 'family', 'food', 'safe', 'nutritious', 'world', 'zero', 'hunger', 'positively', 'impact', 'economy', 'health', 'education', 'equality', 'social', 'development', 'piece', 'building', 'better', 'future', 'additionally', 'hunger', 'limiting', 'human', 'development', 'able', 'achieve', 'sustainable', 'development', 'goal', 'education', 'health', 'gender', 'equality', 'sustainable_development', 'zero_hunger', 'food_production', 'food_price', 'food_security', 'safe_nutritious', 'zero_hunger', 'sustainable_development', 'gender_equality']"
46,"['need', 'investment', 'rural', 'urban', 'area', 'social', 'protection', 'poor', 'access', 'food', 'improve', 'livelihood', 'help', 'change', 'lifeat', 'home', 'work', 'communityby', 'supporting', 'local', 'farmer', 'market', 'making', 'sustainable', 'food', 'choice', 'supporting', 'good', 'nutrition', 'fighting', 'food', 'waste', 'power', 'consumer', 'voter', 'demanding', 'business', 'government', 'choice', 'change', 'zero', 'hunger', 'reality', 'join', 'conversation', 'social', 'platform', 'local', 'community', 'hunger', 'rise', 'globally', 'undernutrition', 'continues', 'affect', 'child', 'public', 'investment', 'agriculture', 'globally', 'declining', 'smallscale', 'food', 'producer', 'family', 'farmer', 'require', 'greater', 'support', 'investment', 'infrastructure', 'technology', 'sustainable', 'agriculture', 'urgently', 'needed', 'urban_area', 'social_protection', 'zero_hunger', 'local_community', 'food_producer']"
47,"['represents', 'worrying', 'rise', 'world', 'hunger', 'consecutive', 'prolonged', 'decline', 'africa', 'remains', 'continent', 'highest', 'prevalence', 'affecting', 'fifth', 'population', 'consistent', 'continued', 'growth', 'faced', 'severe', 'food', 'insecurity', 'stunting', 'decreasing', 'nearly', 'region', 'child', 'stunted', 'globally', 'child', 'affected', 'wasting', 'overweight', 'strengthening', 'resilience', 'adaptive', 'capacity', 'scale', 'family', 'farmer', 'productivity', 'systematically', 'food', 'producer', 'critical', 'reversing', 'trend', 'rise', 'hunger', 'scale', 'food', 'producer', 'term', 'food', 'producer', 'country', 'africa', 'asia', 'latin', 'america', 'range', 'compared', 'fewer', 'europe', 'severe_food', 'child_stunted', 'resilience_adaptive', 'food_producer', 'food_producer', 'food_producer', 'asia_latin']"
